id,date,time,continent_code,country_name,country_code,state/province,population,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities,source_name,source_link,,,
3368,4/16/11,,,United States,US,New Jersey,50005,Hoboken,0.84845,,40.7443,-74.0424,"(40.744300000000003, -74.042400000000001)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.nj.com/hudson/index.ssf/2011/04/storm_causes_mudslide_at_338_o.html,16-04-2011,2011,4
3369,4/16/11,Afternoon,,United States,US,Ohio,1372,Tiltonsville,3.77028,,40.1909,-80.6687,"(40.190899999999999, -80.668700000000001)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.wtov9.com/news/27576074/detail.html,16-04-2011,2011,4
3370,4/16/11,Evening,,United States,US,West Virginia,823,Elizabeth,15.03444,,39.0315,-81.5639,"(39.031500000000001, -81.563900000000004)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.wtap.com/news/headlines/Road_Slip_119983889.html,16-04-2011,2011,4
3371,4/16/11,Afternoon,,United States,US,Ohio,1482,Brilliant,1.76001,,40.2498,-80.6329,"(40.2498, -80.632900000000006)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.statejournal.com/story.cfm?func=viewstory&storyid=97875,16-04-2011,2011,4
3372,4/16/11,21:30:00,,United States,US,Pennsylvania,9299,Bala Cynwyd,3.74706,,39.982,-75.2055,"(39.981999999999999, -75.205500000000001)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.nbcphiladelphia.com/news/local/Mudslide-Backs-Up-Traffic--119989159.html?rr=td,16-04-2011,2011,4
3379,4/17/11,10:00:00,,United States,US,Maryland,6170,Thurmont,3.50924,,39.6526,-77.4274,"(39.6526, -77.427400000000006)",Landslide,Mudslide,Medium,Downpour,,,0,,"http://www.herald-mail.com/news/local/hm-md-550-in-thurmont-area-remains-closed-due-to-mudslide-20110419,0,5636540.story",17-04-2011,2011,4
3386,4/21/11,,,United States,US,Kentucky,24757,Independence,2.19418,,38.9566,-84.5256,"(38.956600000000002, -84.525599999999997)",Landslide,Landslide,Small,Downpour,,,0,,"http://www.kypost.com/dpp/news/local_news/high-water,-landslide-close-roads",21-04-2011,2011,4
3387,4/21/11,,,United States,US,Kentucky,5912,Cold Spring,1.22389,,39.0189,-84.4536,"(39.018900000000002, -84.453599999999994)",Landslide,Landslide,Small,Downpour,,,0,,"http://www.kypost.com/dpp/news/local_news/high-water,-landslide-close-roads",21-04-2011,2011,4
3388,4/21/11,,,United States,US,Kentucky,3925,Williamstown,12.53751,,38.5293,-84.599,"(38.529299999999999, -84.599000000000004)",Landslide,Landslide,Small,Downpour,,,0,,"http://www.kypost.com/dpp/news/local_news/high-water,-landslide-close-roads",21-04-2011,2011,4
3389,4/21/11,18:00:00,,United States,US,Kentucky,7489,Villa Hills,2.03469,,39.0639,-84.6165,"(39.063899999999997, -84.616500000000002)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.fox19.com/story/14494279/villa-hills-road-closed-due-to-mudslide,21-04-2011,2011,4
3390,4/21/11,,,United States,US,Ohio,5259,Delhi Hills,3.45556,,39.0744,-84.6449,"(39.074399999999997, -84.644900000000007)",Landslide,Landslide,Medium,Downpour,,,0,,"http://www.kypost.com/dpp/news/local_news/high-water,-landslide-close-roads",21-04-2011,2011,4
3391,4/21/11,,,United States,US,Kentucky,3035,Wilder,1.24385,,39.0456,-84.4833,"(39.0456, -84.4833)",Landslide,Landslide,Medium,Downpour,,,0,,"http://www.kypost.com/dpp/news/local_news/high-water,-landslide-close-roads",21-04-2011,2011,4
3392,4/21/11,,,United States,US,Kentucky,8477,Alexandria,4.61879,,38.9939,-84.358,"(38.993899999999996, -84.358000000000004)",Landslide,Landslide,Medium,Downpour,,,0,,"http://www.kypost.com/dpp/news/local_news/high-water,-landslide-close-roads",21-04-2011,2011,4
